id , created_at                   , title                                               , description                                                                                                                                                                                                                                     , category                            , estimated_time, completion_criteria                                                                                                             , submitted_by   , points, benchmark_elo, is_benchmark, benchmark_points
751, 2026-02-22 02:10:37.105532+00, Build and Maintain a Terrarium                      , Build a terrarium housing live creatures (isopods snails etc.) and keep it thriving for 90 days                                                                                                                                                 , Creative                            , Months        , Terrarium built with living inhabitants thriving at 90 days                                                                     ,                ,     12,              ,            0, 
761, 2026-02-22 02:10:37.105532+00, Switch to an Ergonomic Keyboard                     , Purchase and switch to an ergonomic or split keyboard and use it as your primary keyboard for 30 days                                                                                                                                           , Achievement                         , Months        , 30 days of primary use documented                                                                                               ,                ,      8,              ,            0, 
767, 2026-02-22 02:10:37.105532+00, Wear Makeup Every Day for a Month                   , Apply makeup every day for 30 consecutive days (if you don't normally wear it)                                                                                                                                                                  , Absurd & Growth/Self                , Months        , 30 days documented with photos                                                                                                  ,                ,     16,              ,            0, 
768, 2026-02-22 02:10:37.105532+00, Go Makeup-Free for a Month                          , Go 30 consecutive days without wearing any makeup (if you normally wear it)                                                                                                                                                                     , Growth/Self                         , Months        , 30 consecutive days completed                                                                                                   ,                ,     13,              ,            0, 
771, 2026-02-22 02:10:37.105532+00, Become a Beekeeper                                  , Set up a beehive and actively maintain a bee colony for at least 3 months                                                                                                                                                                       , Achievement & Growth/Self           , Months        , Hive set up + maintained for 3 months with documentation                                                                        ,                ,     22,              ,            0, 
778, 2026-02-22 02:10:37.105532+00, Learn Fencing and Win a Bout                        , Take fencing lessons and win at least one bout in a sanctioned competition or tournament                                                                                                                                                        , Physical & Achievement              , Months        , Won at least one official bout with documentation                                                                               ,                ,     15,              ,            0, 
782, 2026-03-06 02:05:22.404075+00, Go vegetarian for a month                           , Eat a fully vegetarian diet with no meat for 30 consecutive days                                                                                                                                                                                , Growth/Self & Physical              , Months        , 30 consecutive days of fully vegetarian eating                                                                                  ,                ,       ,              ,            0, 
   ,                              , Binge an Entire Series                              , Binge the entirety of One Piece or Grey's Anatomy or similar epic-length series                                                                                                                                                                 , Absurd                              , Months        , Watch every episode of a series with 500+ episodes                                                                              , florencemgormig,       ,              ,             , 
   ,                              , Life Calendar for 6 Months                          , Track what you do each week on a life calendar for 6 months filling boxes with weekly highlights                                                                                                                                                , Growth/Self                         , Months        , 6 months of completed weekly life calendar entries                                                                              , sherm.the.worm ,       ,              ,             , 
   ,                              , Drink Recommended Water for a Month                 , Drink at least your recommended amount of water each day for a month (half your body weight in pounds as ounces)                                                                                                                                , Physical & Growth/Self              , Months        , 30 days of hitting your water intake goal                                                                                       , sherm.the.worm ,       ,              ,             , 
   ,                              , Get an Initiative on the Ballot                     , Get a political initiative on an official ballot                                                                                                                                                                                                , Achievement & Growth/Self           , Months        , Initiative accepted for ballot placement                                                                                        , sherm.the.worm ,       ,              ,             , 
   ,                              , Get Rid of Your Phone                               , Get rid of your phone and don't buy another one or switch to a dumbphone                                                                                                                                                                        , Growth/Self                         , Months        , Live without a smartphone for an extended period                                                                                , sherm.the.worm ,       ,              ,             , 
   ,                              , Daily Art for a Month                               , Do a small form of art every day for a month (painting drawing etc.)                                                                                                                                                                            , Creative                            , Months        , 30 pieces of art created over 30 consecutive days                                                                               , sherm.the.worm ,       ,              ,             , 
   ,                              , Compete in Ragnar                                   , Compete in a Ragnar relay race                                                                                                                                                                                                                  , Physical & Achievement              , Months        , Complete a Ragnar relay event                                                                                                   , sherm.the.worm ,       ,              ,             , 
   ,                              , Ask 50 People on Dates                              , Ask 50 people on dates (or if partnered ask 50 people to hang out)                                                                                                                                                                              , Social & Growth/Self                , Months        , 50 documented asks                                                                                                              , gaberoni24     ,       ,              ,             , 
   ,                              , No Refined Sugar for 1 Month                        , No refined sugar for 1 month                                                                                                                                                                                                                    , Growth/Self & Physical              , Months        , 30 days without refined sugar                                                                                                   , happyness42069 ,       ,              ,             , 
   ,                              , 30-Minute Morning Walk No Phone                     , Go for a 30-minute walk when you wake up every morning for a month with no phone                                                                                                                                                                , Physical & Growth/Self              , Months        , 30 days of phone-free morning walks                                                                                             , daddyfestivus  ,       ,              ,             , 
   ,                              , Foster an Animal                                    , Foster an animal through a rescue organization                                                                                                                                                                                                  , Growth/Self & Social                , Months        , Complete a foster period for an animal                                                                                          , daddyfestivus  ,       ,              ,             , 
   ,                              , Watch Every Movie by One Director                   , Watch every movie from the same director                                                                                                                                                                                                        , Growth/Self                         , Months        , Complete a full director filmography                                                                                            , daddyfestivus  ,       ,              ,             , 
   ,                              , Handmade Gratitude Calendar                         , Make a homemade calendar where you draw everything and handwrite dates logging daily gratitudes                                                                                                                                                 , Creative & Growth/Self              , Months        , Complete a 12-month hand-drawn calendar with daily gratitude notes                                                              , daddyfestivus  ,       ,              ,             , 
   ,                              , Join a Fantasy Football League                      , Join a fantasy football league if you've never done one before and try to win                                                                                                                                                                   , Social                              , Months        , Participate in a full fantasy football season                                                                                   , daddyfestivus  ,       ,              ,             , 
   ,                              , Take Creatine Daily for a Month                     , Take creatine or a supplement you've been meaning to try every day for a month                                                                                                                                                                  , Physical                            , Months        , 30 days of daily supplement intake                                                                                              , daddyfestivus  ,       ,              ,             , 
   ,                              , Sunscreen Every Day for 30 Days                     , Apply sunscreen every day for 30 consecutive days                                                                                                                                                                                               , Physical & Growth/Self              , Months        , 30 days of daily sunscreen application                                                                                          , daddyfestivus  ,       ,              ,             , 
   ,                              , Publish Daily Writing for 30 Days                   , Publish a piece of writing every day for 30 days on a blog or platform                                                                                                                                                                          , Creative & Achievement              , Months        , 30 published pieces in 30 days                                                                                                  , cookie.mobster ,       ,              ,             , 
   ,                              , Stop a Bad Habit Permanently                        , Entirely stop performing a bad habit that annoys you (skin picking nail biting etc.)                                                                                                                                                            , Growth/Self                         , Months        , 3+ months without the habit                                                                                                     , thatdragonadara,       ,              ,             , 
   ,                              , Donate 48+ Hours to Charity                         , Donate 48 hours or more of unpaid time to local charities                                                                                                                                                                                       , Growth/Self & Social                , Months        , 48+ volunteer hours logged                                                                                                      , thatdragonadara,       ,              ,             , 
564, 2026-02-03 23:47:26.555825+00, Use Your Time Off                                   , Take your full vacation/PTO this year or 10+ days if self-employed                                                                                                                                                                              , Growth/Self                         , Weeks         , All PTO scheduled - all PTO taken                                                                                               ,                ,      7,              ,            0, 
573, 2026-02-03 23:47:26.555825+00, Sleep 8+ Hours for 14 Nights                        , Get 8+ hours of actual sleep for two straight weeks                                                                                                                                                                                             , Growth/Self & Physical              , Weeks         , Sleep tracking data showing 14 consecutive nights                                                                               ,                ,      9,              ,            0, 
574, 2026-02-03 23:47:26.555825+00, Master 10 New Meals                                 , Learn to cook 10 nutritious meals without recipes                                                                                                                                                                                               , Achievement & Creative              , Weeks         , Photos of all 10 meals + can cook any on request                                                                                ,                ,     12,              ,            0, 
580, 2026-02-03 23:47:26.555825+00, Pitch an Idea to Leadership                         , Prepare and deliver a formal proposal to senior leadership                                                                                                                                                                                      , Achievement                         , Weeks         , The pitch meeting happened                                                                                                      ,                ,     18,              ,            0, 
586, 2026-02-03 23:47:26.555825+00, Write a Song                                        , Compose an original song with lyrics and melody (instrument optional and can be a cappella)                                                                                                                                                     , Creative                            , Weeks         , Complete song exists that you can perform start to finish                                                                       ,                ,     12,              ,            0, 
595, 2026-02-03 23:47:26.555825+00, Learn to Handstand                                  , Learn to hold a freestanding handstand                                                                                                                                                                                                          , Physical                            , Weeks         , Video of handstand held for 10+ seconds without wall support                                                                    ,                ,     12,              ,            0, 
597, 2026-02-03 23:47:26.555825+00, Do a kickflip                                       , Learn to ride a skateboard and perform a kickflip                                                                                                                                                                                               , Physical                            , Weeks         , Video of doing a kickflip                                                                                                       ,                ,     12,              ,            0, 
621, 2026-02-03 23:47:26.555825+00, Beat a Video Game You've Never Played               , Complete a video game from start to finish that you've never played before                                                                                                                                                                      , Achievement                         , Weeks         , Game completed with screenshot of ending                                                                                        ,                ,      8,              ,            0, 
629, 2026-02-03 23:47:26.555825+00, Learn to Swim                                       , Learn to swim if you can't already (complete a lap without stopping)                                                                                                                                                                            , Growth/Self & Physical              , Weeks         , Swim one full pool length without stopping                                                                                      ,                ,     12,              ,            0, 
639, 2026-02-22 02:10:37.105532+00, Bake 10 Unique Recipes in 48 Hours                  , Make 10 different baked goods or cooked dishes in one weekend                                                                                                                                                                                   , Creative                            , Weeks         , 10 distinct recipes - completed within 48 hours - photo documentation                                                           ,                ,      7,              ,            0, 
648, 2026-02-22 02:10:37.105532+00, Learn One Song                                      , Learn to play or sing one complete song                                                                                                                                                                                                         , Creative & Growth/Self              , Weeks         , Can perform it start to finish for at least one person                                                                          ,                ,     10,              ,            0, 
661, 2026-02-22 02:10:37.105532+00, Make a One-Person Short Film                        , Write and film and edit a short film where you handle every role                                                                                                                                                                                , Creative                            , Weeks         , Minimum 2 minutes - has script - you appear on screen - you edited it                                                           ,                ,     14,              ,            0, 
662, 2026-02-22 02:10:37.105532+00, Fold 100 Origami Cranes                             , Fold 100 paper cranes                                                                                                                                                                                                                           , Creative                            , Weeks         , Photo of 100 completed cranes together                                                                                          ,                ,     12,              ,            0, 
665, 2026-02-22 02:10:37.105532+00, Learn Basic Sign Language                           , Learn the ASL alphabet and 20 common phrases                                                                                                                                                                                                    , Achievement & Growth/Self           , Weeks         , Fingerspell full alphabet from memory + sign 20 phrases without reference                                                       ,                ,     16,              ,            0, 
679, 2026-02-22 02:10:37.105532+00, Build a Piece of Furniture Together                 , Build a functional piece of furniture from raw materials (not IKEA) with a partner                                                                                                                                                              , Physical & Creative                 , Weeks         , Functional furniture piece completed with photo in use                                                                          ,                ,     10,              ,            0, 
690, 2026-02-22 02:10:37.105532+00, Learn to Ride a Unicycle                            , Learn to ride a unicycle well enough to travel at least 50 feet without falling                                                                                                                                                                 , Physical & Achievement              , Weeks         , Video of riding 50+ feet unassisted                                                                                             ,                ,     12,              ,            0, 
692, 2026-02-22 02:10:37.105532+00, Write a Children's Book                             , Write and illustrate a children's book about something you're passionate about                                                                                                                                                                  , Creative                            , Weeks         , Completed book with text and illustrations - at least 10 pages                                                                  ,                ,     14,              ,            0, 
693, 2026-02-22 02:10:37.105532+00, Start a Podcast or YouTube Channel                  , Create a podcast or YouTube channel and publish at least 3 episodes or videos                                                                                                                                                                   , Creative & Achievement              , Weeks         , 3+ episodes/videos published publicly                                                                                           ,                ,     15,              ,            0, 
695, 2026-02-22 02:10:37.105532+00, Try a Combat Sport                                  , Attend at least 3 classes in a combat sport you've never trained (boxing - jiu jitsu - muay thai - wrestling - etc.)                                                                                                                            , Physical                            , Weeks         , 3 classes completed in a new combat sport                                                                                       ,                ,     11,              ,            0, 
716, 2026-02-22 02:10:37.105532+00, Learn to Do a Backflip                              , Learn to perform a standing backflip on flat ground (gym training allowed during learning)                                                                                                                                                      , Physical                            , Weeks         , Video of a standing backflip on flat ground                                                                                     ,                ,     14,              ,            0, 
730, 2026-02-22 02:10:37.105532+00, Dance the Thriller                                  , Organize and perform the Thriller dance with a group of 10+ people in a public place                                                                                                                                                            , Social & Creative                   , Weeks         , Video of 10+ people performing Thriller together                                                                                ,                ,     20,              ,            0, 
731, 2026-02-22 02:10:37.105532+00, Learn to Windmill                                   , Learn the breakdancing windmill move well enough to complete 3 consecutive rotations                                                                                                                                                            , Physical & Creative                 , Weeks         , Video of 3+ consecutive windmill rotations                                                                                      ,                ,     14,              ,            0, 
732, 2026-02-22 02:10:37.105532+00, Let 10 Species Eat from Your Hand                   , Feed animals from 10 different species directly from your hand (squirrels - birds - goats - horses - etc.). Make sure you're not feeding the animals things that are bad for them. EG bread is bad for geese/ducks!                             , Absurd                              , Weeks         , Photos of 10 different species eating from your hand                                                                            ,                ,     15,              ,            0, 
735, 2026-02-22 02:10:37.105532+00, Get Kicked Out of a Casino for Card Counting        , Learn basic card counting and get asked to leave a casino for winning too much at blackjack                                                                                                                                                     , Absurd & Achievement                , Weeks         , Documentation of being asked to leave a casino                                                                                  ,                ,     23,              ,            0, 
737, 2026-02-22 02:10:37.105532+00, Build a Treehouse                                   , Build a treehouse or elevated platform sturdy enough to sit in                                                                                                                                                                                  , Creative & Physical                 , Weeks         , Photo of completed treehouse with you sitting in it                                                                             ,                ,     13,              ,            0, 
743, 2026-02-22 02:10:37.105532+00, Learn to Do the Worm                                , Learn the worm dance move well enough to travel at least 10 feet across the floor                                                                                                                                                               , Physical & Creative                 , Weeks         , Video of traveling 10+ feet doing the worm                                                                                      ,                ,     10,              ,            0, 
744, 2026-02-22 02:10:37.105532+00, Learn to Moonwalk                                   , Learn to moonwalk smoothly enough to do it across a room without stumbling                                                                                                                                                                      , Physical & Creative                 , Weeks         , Video of smooth moonwalk across a room                                                                                          ,                ,     10,              ,            0, 
764, 2026-02-22 02:10:37.105532+00, Paint the Exterior of a Car                         , Fully paint the exterior of a real car with original designs by hand (not a wrap not a spray booth)                                                                                                                                             , Creative & Absurd                   , Weeks         , Car fully painted by hand with photo documentation                                                                              ,                ,     19,              ,            0, 
   ,                              , Do Woodworking                                      , Make a woodworking project like a table chair or cupboard                                                                                                                                                                                       , Creative                            , Weeks         , Complete a functional woodworking piece                                                                                         , florencemgormig,       ,              ,             , 
   ,                              , Ride a Bike Backwards                               , Learn how to ride a bike backwards                                                                                                                                                                                                              , Physical & Absurd                   , Weeks         , Video proof of riding a bike backwards                                                                                          , florencemgormig,       ,              ,             , 
   ,                              , Learn Ice Skating Spin                              , Learn ice skating and be able to do a spin on the ice                                                                                                                                                                                           , Physical & Creative                 , Weeks         , Video of performing a spin on ice skates                                                                                        , florencemgormig,       ,              ,             , 
   ,                              , Sew a Dress or Shirt                                , Sew a dress or shirt from scratch                                                                                                                                                                                                               , Creative                            , Weeks         , Complete hand-sewn garment                                                                                                      , florencemgormig,       ,              ,             , 
   ,                              , Rescue a Sick Animal                                , Research proper care and then foster a sick animal from a factory farm or similar situation                                                                                                                                                     , Growth/Self & Social                , Weeks         , Foster and care for a rescued animal                                                                                            , sherm.the.worm ,       ,              ,             , 
   ,                              , Get Up Before 7am for 2 Weeks                       , Get up before 7am every day for 2 consecutive weeks                                                                                                                                                                                             , Growth/Self                         , Weeks         , 14 days of waking before 7am documented                                                                                         , sherm.the.worm ,       ,              ,             , 
   ,                              , Do a Challenge Every Day for 2 Weeks                , Complete one Big Year challenge every day for 2 consecutive weeks                                                                                                                                                                               , Achievement                         , Weeks         , 14 challenges completed in 14 consecutive days                                                                                  , sherm.the.worm ,       ,              ,             , 
   ,                              , No Plastic for Two Weeks                            , Don't use or buy anything containing plastic for two weeks                                                                                                                                                                                      , Growth/Self                         , Weeks         , 14 days without using or purchasing plastic                                                                                     , sherm.the.worm ,       ,              ,             , 
   ,                              , Do a 5-Minute Plank                                 , Hold a plank position for 5 continuous minutes                                                                                                                                                                                                  , Physical                            , Weeks         , Video proof of 5-minute plank hold                                                                                              , sherm.the.worm ,       ,              ,             , 
   ,                              , Read a Top 10 Fiction Author                        , Read a book from one of the top 10 most sold fictional authors of all time                                                                                                                                                                      , Growth/Self                         , Weeks         , Complete a book by a top 10 bestselling fiction author                                                                          , maps3109       ,       ,              ,             , 
   ,                              , Learn 3 New Accents                                 , Add 3 new accents to your repertoire and be able to carry a conversation with them                                                                                                                                                              , Creative & Absurd                   , Weeks         , Demonstrate 3 different accents in sustained conversation                                                                       , happyness42069 ,       ,              ,             , 
   ,                              , Make a Documentary                                  , Make a documentary about something you know nothing about in the style of 'How To with John Wilson'                                                                                                                                             , Creative & Achievement              , Weeks         , Complete and share a 15+ minute documentary                                                                                     , pancakefry     ,       ,              ,             , 
   ,                              , Get Ham Radio Certified                             , Get your ham radio certification                                                                                                                                                                                                                , Achievement                         , Weeks         , Receive official ham radio license                                                                                              , pancakefry     ,       ,              ,             , 
   ,                              , Read a Disagreeable Memoir                          , Read a memoir or biography about someone whose views or actions you disagree with                                                                                                                                                               , Growth/Self                         , Weeks         , Complete the book and reflect on it                                                                                             , daddyfestivus  ,       ,              ,             , 
   ,                              , Science Fair Project                                , Do a science fair project like in elementary school: form a hypothesis experiment and present findings on a tri-fold board to more than 2 people. An official science fair Big Year event can happen later this year if there is popular demand., Creative & Achievement              , Weeks         , Complete science fair board and present to 3+ people.                                                                           , daddyfestivus  ,       ,              ,             , 
   ,                              , Sew Custom Pants                                    , Sew a pair of pants tailored to your measurements with an actual fly (button or zipper)                                                                                                                                                         , Creative                            , Weeks         , Complete handmade pants with working fly                                                                                        , daddyfestivus  ,       ,              ,             , 
   ,                              , Read a Book Written Before 1800                     , Read a book that was written before the year 1800                                                                                                                                                                                               , Growth/Self                         , Weeks         , Complete a pre-1800 book                                                                                                        , daddyfestivus  ,       ,              ,             , 
   ,                              , Popcorn Read a Book with Friends                    , Read a book aloud with friends taking turns reading sections over an extended period                                                                                                                                                            , Social & Growth/Self                , Weeks         , Complete a book through group popcorn reading                                                                                   , daddyfestivus  ,       ,              ,             , 
   ,                              , Build a Complex App with AI                         , Build a complex functional app using AI tools                                                                                                                                                                                                   , Achievement & Creative              , Weeks         , Launch a working app built with AI assistance                                                                                   , cookie.mobster ,       ,              ,             , 
   ,                              , No Eating Out for 2+ Weeks                          , Avoid eating out at restaurants for 2 or more weeks                                                                                                                                                                                             , Growth/Self                         , Weeks         , 14+ days cooking all meals at home                                                                                              , nerdinc        ,       ,              ,             , 
   ,                              , Set a PR Mile Time                                  , Set a personal record mile time for running                                                                                                                                                                                                     , Physical & Achievement              , Weeks         , Document a new personal best mile time                                                                                          , nerdinc        ,       ,              ,             , 
   ,                              , Brew Kombucha from Scratch                          , Brew kombucha from scratch at home                                                                                                                                                                                                              , Creative                            , Weeks         , Complete a batch of homemade kombucha                                                                                           , nerdinc        ,       ,              ,             , 
   ,                              , Learn to Walk on Your Hands                         , Learn to walk on your hands and complete at least 10 steps                                                                                                                                                                                      , Physical                            , Weeks         , Video of 10+ handstand walking steps                                                                                            , abbs2882       ,       ,              ,             , 
   ,                              , Knit or Crochet Clothing                            , Knit or crochet an article of clothing                                                                                                                                                                                                          , Creative                            , Weeks         , Complete a knitted/crocheted garment                                                                                            , abbs2882       ,       ,              ,             , 
   ,                              , Learn a Portable Instrument                         , Learn to play a portable instrument you can pull out in social situations (mouth harp harmonica duck call etc.)                                                                                                                                 , Creative                            , Weeks         , Perform on your portable instrument in a social setting                                                                         , lolaikl        ,       ,              ,             , 
